,artista,listeners,playcount,biografia,artistas_similares
598,FRANK MULLAH,85,146," <a href=""https://www.last.fm/music/FRANK+MULLAH"">Read more on Last.fm</a>","['Tee Thee OG from KMC', 'Blair Webster', '3IRD ROC', 'Nydia Virginia']"
599,dua saleh,166179,1675531,"Dua Saleh (they/xe) is a Sudanese-American recording artist, songwriter, poet, and actor based in Minneapolis, Minnesota, U.S. Their debut EP Nūr was released in January 2019 by the Against Giants record label to critical acclaim.

Saleh, who came to the United States from Sudan as a child, wrote poetry from an early age. While attending Augsburg University, xe began to experiment with music, eventually releasing a demo in 2017. Shortly after, xe began to work with local producer Psymun and began performing their music live <a href=""https://www.last.fm/music/dua+saleh"">Read more on Last.fm</a>",[]
600,NF,1017129,70629574,"NF is the stage name of rapper and composer Nate Feuerstein from Gladwin, Michigan. Feuerstein endured a hardship-filled childhood in which his parents divorced, his mother's boyfriend physically abused him, and his mother eventually killed herself. Music was his escape, and he began recording songs on a karaoke machine, with instrumentals on one microphone and his raps in the other. Placing second in a nationwide Fine Arts Festival rap competition in 2008 <a href=""https://www.last.fm/music/NF"">Read more on Last.fm</a>","['Witt Lowry', 'Ivan B', 'Lucidious', 'Joyner Lucas']"
601,LIL UZI VERT,2083789,292104667,"Symere Bysil Woods (born July 31, 1995, Philadelphia, USA), known professionally as Lil Uzi Vert, is an American rapper, singer, and songwriter. Characterized by their face tattoos, facial piercings, eccentric hairstyles, and androgynous fashion, their music is often defined by dark subject matters and imagery built on a melodic emo approach to trap.

They attracted mainstream attention following the release of their debut single ""Money Longer"" in 2016. <a href=""https://www.last.fm/music/LIL+UZI+VERT"">Read more on Last.fm</a>",[]
602,NF,1017129,70629574,"NF is the stage name of rapper and composer Nate Feuerstein from Gladwin, Michigan. Feuerstein endured a hardship-filled childhood in which his parents divorced, his mother's boyfriend physically abused him, and his mother eventually killed herself. Music was his escape, and he began recording songs on a karaoke machine, with instrumentals on one microphone and his raps in the other. Placing second in a nationwide Fine Arts Festival rap competition in 2008 <a href=""https://www.last.fm/music/NF"">Read more on Last.fm</a>","['Witt Lowry', 'Ivan B', 'Lucidious', 'Joyner Lucas']"
603,Jelex,6367,63476,"Jelex is a Singer/Songwriter from Amsterdam/Holland,  currently playing in the duo Hotel Wazinsky. <a href=""https://www.last.fm/music/Jelex"">Read more on Last.fm</a>","['SACHIHIRO(幸福)', '666Swish', 'KYJU', 'Nhelson']"
604,Jack Harlow,1464568,61467639,"Jackman Thomas ""Jack"" Harlow (born March 13, 1998), is an American rapper and songwriter. He is signed to Generation Now and Atlantic Records. He is also the co-founder of his own musical collective, Private Garden. He is best known for his single ""What's Poppin"", which peaked at number 2 on the Billboard Hot 100.

Harlow was born and raised in Louisville. Harlow began rapping at age 12. He and a friend used a Guitar Hero microphone and a laptop to record rhymes and songs. <a href=""https://www.last.fm/music/Jack+Harlow"">Read more on Last.fm</a>","['Cordae', 'The Homies', 'Logic', 'Drake']"
605,NLE Choppa,1035296,37744519,"Memphis teen rap sensation NLE Choppa has seen his circumstances change with the swiftness. He began freestyling with his friends at 14, started taking it seriously at age 15 and had millions of views and major-label interest shortly after his 16th birthday. He first got his buzz from ""No Chorus Pt. 3,"" a song and video from his crew Shotta Fam on which Choppa kicks off the song off and steals the show.
Since it's release in early January, NLE Choppa's ""Shotta Flow"" video has amassed more than 12 million views in nearly six weeks. <a href=""https://www.last.fm/music/NLE+Choppa"">Read more on Last.fm</a>","['Polo G', 'DaBaby', 'Lil Loaded', 'King Von']"
606,Lance Redeker,17474,86043," <a href=""https://www.last.fm/music/Lance+Redeker"">Read more on Last.fm</a>","['Ori Rose', 'papichuloteej', 'Hamond', 'Palmertrees']"
607,DJ Muggs,150333,2148266,"Muggs (born: Lawrence Muggerud), also called DJ Muggs, started out in the short-lived rap group The 7A3 before helping found what would become one of the most respected and popular rap groups of all time: Cypress Hill. Cypress Hill have now released seven studio albums and a lot of singles, a few EP's, and even a live album. But Muggs' career is not limited only to his rap group, he is one of the main people behind the Soul Assassins albums that feature some of the best rappers in the world <a href=""https://www.last.fm/music/DJ+Muggs"">Read more on Last.fm</a>","['Meyhem Lauren', 'CRIMEAPPLE', 'Conway the Machine', 'Roc Marciano']"
608,LIL UZI VERT,2083789,292104667,"Symere Bysil Woods (born July 31, 1995, Philadelphia, USA), known professionally as Lil Uzi Vert, is an American rapper, singer, and songwriter. Characterized by their face tattoos, facial piercings, eccentric hairstyles, and androgynous fashion, their music is often defined by dark subject matters and imagery built on a melodic emo approach to trap.

They attracted mainstream attention following the release of their debut single ""Money Longer"" in 2016. <a href=""https://www.last.fm/music/LIL+UZI+VERT"">Read more on Last.fm</a>",[]
609,Blu,346683,5579317,"There are 2 artists with the name Blu:
1. An American rapper and producer from Los Angeles, California.
2. An ambient drum and bass musician located in the United Kingdom.

(1) Johnson Barnes (born April 15, 1983 in Inglewood, California), better known by the stage name Blu, is an American rapper and producer. In 2007 he released his debut album, ""Below the Heavens"", which was produced entirely by Exile, one half of Emanon. Since then he has collaborated with Mainframe under the name Johnson&Jonson, and with Ta'Raach under the name C. <a href=""https://www.last.fm/music/Blu"">Read more on Last.fm</a>","['Blu & Exile', 'Elzhi', 'Fashawn', 'Skyzoo']"
610,Son Of Saturn,1417,30401,"In the year 1982, under the Autumn equinox, a beam of light was laid into a vessel somewhere in the indigenous lands of Oklahoma. Frequently splitting his seemingly linear time between California and Kansas City, as a result of his parents separation, our subject became thirsty for knowledge at a young age. By the time he had spent 13 full years among us, he had immersed himself in the culture of the underground. This meant skating, punk rock, graffiti, and a new fondness for alcohol and drugs. <a href=""https://www.last.fm/music/Son+Of+Saturn"">Read more on Last.fm</a>","['Akashik Ancestorz', 'Cosmic Crusader', 'Danegurous', 'Masta Buildas']"
611,skaiwater,236605,5089825,"Tyler Brooks (born August 31, 2000), known professionally as skaiwater (formerly La Rica, Lil Austin, trunksXO & skaifantasy*), is a singer, producer, DJ, and engineer from Nottingham, United Kingdom. They are best known for their melodic jersey club hits #miles, which had a remix featuring Lil Uzi Vert, and #eyes. 

Skai has been consistently making music since late 2016, and as of 2024, they have garnered nearly a million monthly listeners on Spotify. <a href=""https://www.last.fm/music/skaiwater"">Read more on Last.fm</a>","['Cash Cobain', 'Ian', 'Bktherula', 'Hardrock']"
612,locs,7821,30994," <a href=""https://www.last.fm/music/locs"">Read more on Last.fm</a>","['Neaux ID', 'Joey Aich', 'Mazen', 'Tattie']"
613,Pop Smoke,1270061,109723935,"Bashar Barakah Jackson (July 20, 1999 – February 19, 2020), known professionally as Pop Smoke, was an American rapper and actor from Canarsie, Brooklyn, New York. He started his musical career in late 2018 with his debut single ""MPR (Panic Part 3 Remix)"", and rose to fame with the release of his breakout singles ""Welcome to the Party"" and ""Dior"" in 2019. His style of rap was heavily influenced by 50 Cent, DMX, and Meek Mill and was characterized by a signature and distinguishable drill-style rap, the style typically seen in the UK rap scene. <a href=""https://www.last.fm/music/Pop+Smoke"">Read more on Last.fm</a>","['DUSTY LOCANE', 'Fivio Foreign', 'Rah Swish', 'Lil Tjay']"
614,Justin Stone,84018,1335489,"25-year-old alternative hip-hop artist bringing together a melting pot genre mixed with pop, punk, emo and rap. He is known for his album ""Not Really Famous"". He recently hit 100 million streams on Spotify. Other notable albums include ""Long Time Coming"", ""Beauty in the Struggle"", and ""I’ve Been Here Before"". In addition to these albums, Justin has released a plethora of EPs and singles. Justin was on the Missing Pieces Tour with Hi-Rez and Emilio Rojas. He also was on Ryan Caraveo’s 2018 Spring Tour and on the I Prevail's 2019 Trauma Tour. <a href=""https://www.last.fm/music/Justin+Stone"">Read more on Last.fm</a>","['Ryan Caraveo', 'Jez Dior', 'Witt Lowry', 'Ivan B']"
615,Jack Harlow,1464568,61467639,"Jackman Thomas ""Jack"" Harlow (born March 13, 1998), is an American rapper and songwriter. He is signed to Generation Now and Atlantic Records. He is also the co-founder of his own musical collective, Private Garden. He is best known for his single ""What's Poppin"", which peaked at number 2 on the Billboard Hot 100.

Harlow was born and raised in Louisville. Harlow began rapping at age 12. He and a friend used a Guitar Hero microphone and a laptop to record rhymes and songs. <a href=""https://www.last.fm/music/Jack+Harlow"">Read more on Last.fm</a>","['Cordae', 'The Homies', 'Logic', 'Drake']"
616,Lil Baby,1194742,111245139,"Rapper Lil Baby grew up in Atlanta hanging with friends like Young Thug, Coach K, and Pee, leaning more toward a life of petty crime and street hustling while his friends were working in the music industry. In 2015, at age 19, Lil Baby went to prison for two years for a probation violation. Upon his release in 2017, he jump-started his rap career with a mixtape called Perfect Timing, released in April of that year. The mixtape featured cameos from friends like Lil Yachty <a href=""https://www.last.fm/music/Lil+Baby"">Read more on Last.fm</a>","['Lil Durk', 'Lil Baby & Gunna', 'Moneybagg Yo', 'Polo G']"
617,Blu,346683,5579317,"There are 2 artists with the name Blu:
1. An American rapper and producer from Los Angeles, California.
2. An ambient drum and bass musician located in the United Kingdom.

(1) Johnson Barnes (born April 15, 1983 in Inglewood, California), better known by the stage name Blu, is an American rapper and producer. In 2007 he released his debut album, ""Below the Heavens"", which was produced entirely by Exile, one half of Emanon. Since then he has collaborated with Mainframe under the name Johnson&Jonson, and with Ta'Raach under the name C. <a href=""https://www.last.fm/music/Blu"">Read more on Last.fm</a>","['Blu & Exile', 'Elzhi', 'Fashawn', 'Skyzoo']"
618,MoneyBagg Yo,578575,16253133,"Demario DeWayne White, Jr. (born September 22, 1991), better known by his stage name Moneybagg Yo, is an American rapper. He signed to Yo Gotti's record label CMG in October 2016.[1] He also signed a distribution deal with Interscope.[2][3] His latest two projects, Federal 3X and 2 Heartless, debuted at number 5 and number 16 on the Billboard 200, respectively.

Career
His early mixtapes were issued in 2012, including From The Da Block 2 Da Booth and October 20th. <a href=""https://www.last.fm/music/MoneyBagg+Yo"">Read more on Last.fm</a>",[]
619,Tee Grizzley,558553,14317989,"Born in Detroit, Grizzley was raised by his grandmother in the Joy Road area of West Detroit. In middle school, he founded the musical group, All Stars Ball Hard along with three of his friends. In 2011, his mother was sentenced to 15 years in prison for drug trafficking. His father was murdered in 2012.

On July 1, 2014, Tee Grizzley was one of three people arrested following an attempted robbery at a jewelry store in Lexington, Kentucky. On September 30 <a href=""https://www.last.fm/music/Tee+Grizzley"">Read more on Last.fm</a>","['42 Dugg', 'Polo G', 'Moneybagg Yo', 'Pooh Shiesty']"
620,Jack Harlow,1464568,61467639,"Jackman Thomas ""Jack"" Harlow (born March 13, 1998), is an American rapper and songwriter. He is signed to Generation Now and Atlantic Records. He is also the co-founder of his own musical collective, Private Garden. He is best known for his single ""What's Poppin"", which peaked at number 2 on the Billboard Hot 100.

Harlow was born and raised in Louisville. Harlow began rapping at age 12. He and a friend used a Guitar Hero microphone and a laptop to record rhymes and songs. <a href=""https://www.last.fm/music/Jack+Harlow"">Read more on Last.fm</a>","['Cordae', 'The Homies', 'Logic', 'Drake']"
